,precos,bairros,tamanhos,quartos,banheiros,vagas
0,R$ 250.000,"Vila Cidade Universitária, Bauru",149 m² tot.,3 quartos,3 ban.,2 vagas
1,R$ 924.250,"Jardim Aeroporto, Bauru",242 m² tot.,3 quartos,2 ban.,2 vagas
2,R$ 299.690,"Vila Nipônica, Bauru",181 m² tot.,2 quartos,2 ban.,2 vagas
3,R$ 449.740,"Jardim Solange, Bauru",156 m² tot.,3 quartos,2 ban.,2 vagas
4,R$ 229.140,"Núcleo Residencial Beija-Flor, Bauru",112 m² tot.,2 quartos,2 ban.,5 vagas
5,R$ 1.190.000,"Jardim do Lago, Atibaia",335 m² tot.,3 quartos,3 ban.,4 vagas
6,R$ 3.500.000,"Pacaembu, São Paulo",434 m² tot.,4 quartos,4 ban.,2 vagas
7,R$ 599.110,"Vila São João da Boa Vista, Bauru",200 m² tot.,3 quartos,3 ban.,8 vagas
8,R$ 450.000,"Vila Bela Vista, Santo André",70 m² tot.,3 quartos,1 banheiro,2 vagas
9,R$ 250.000,"Parque São João, Bauru",140 m² tot.,2 quartos,2 ban.,1 vaga
10,R$ 185.000,"Residencial Nova Bauru, Bauru",80 m² tot.,2 quartos,1 banheiro,2 vagas
11,R$ 275.000,"Centro, Bauru",175 m² tot.,3 quartos,2 ban.,
12,R$ 350.000,"Centro, Bauru",284 m² tot.,4 quartos,1 banheiro,4 vagas
13,R$ 220.000,"Bauru, São Paulo",200 m² tot.,2 quartos,1 banheiro,2 vagas
14,R$ 405.000,"Centro, Bauru",274 m² tot.,7 quartos,2 ban.,2 vagas
15,R$ 300.000,"Vila Rocha, Bauru",363 m² tot.,3 quartos,2 ban.,3 vagas
16,R$ 270.000,"Residencial Nova Bauru, Bauru",200 m² tot.,3 quartos,3 ban.,2 vagas
17,R$ 2.500.000,"Vila Aeroporto Bauru, Bauru",432 m² tot.,2 quartos,5 ban.,2 vagas
18,R$ 254.000,"Parque São João, Bauru",284 m² tot.,3 quartos,3 ban.,2 vagas
19,R$ 350.000,"Jardim Gerson França, Bauru",200 m² tot.,3 quartos,2 ban.,4 vagas
20,R$ 115.438,"Jardim Nova Esperança, Bauru",214 m² tot.,,,
21,R$ 1.300.000,"Residencial Villaggio, Bauru",350 m² tot.,3 quartos,4 ban.,2 vagas
22,R$ 260.000,"Conjunto Habitacional Isaura Pitta Garms, Bauru",100 m² tot.,2 quartos,1 banheiro,2 vagas
23,R$ 245.000,"Residencial Francisco Lemos de Almeida, Bauru",224 m² tot.,3 quartos,2 ban.,2 vagas
24,R$ 315.000,"Pousada da Esperança II, Bauru",253 m² tot.,2 quartos,1 banheiro,
25,R$ 850.000,"Jardim Shangri-Lá, Bauru",250 m² tot.,3 quartos,1 banheiro,2 vagas
26,R$ 540.000,"Chácara São João, Bauru",1944 m² tot.,3 quartos,2 ban.,2 vagas
27,R$ 920.000,"Jardim Estoril III, Bauru",384 m² tot.,2 quartos,4 ban.,2 vagas
28,R$ 2.350.000,"Residencial Tivoli II, Bauru",363 m² tot.,4 quartos,6 ban.,4 vagas
29,R$ 395.000,"Vila Souto, Bauru",220 m² tot.,2 quartos,3 ban.,4 vagas
30,R$ 250.000,"Vila Cidade Universitária, Bauru",149 m² tot.,3 quartos,3 ban.,2 vagas
31,R$ 924.250,"Jardim Aeroporto, Bauru",242 m² tot.,3 quartos,2 ban.,2 vagas
32,R$ 299.690,"Vila Nipônica, Bauru",181 m² tot.,2 quartos,2 ban.,2 vagas
33,R$ 449.740,"Jardim Solange, Bauru",156 m² tot.,3 quartos,2 ban.,2 vagas
34,R$ 229.140,"Núcleo Residencial Beija-Flor, Bauru",112 m² tot.,2 quartos,2 ban.,5 vagas
35,R$ 1.190.000,"Jardim do Lago, Atibaia",335 m² tot.,3 quartos,3 ban.,4 vagas
36,R$ 3.500.000,"Pacaembu, São Paulo",434 m² tot.,4 quartos,4 ban.,2 vagas
37,R$ 599.110,"Vila São João da Boa Vista, Bauru",200 m² tot.,3 quartos,3 ban.,8 vagas
38,R$ 450.000,"Vila Bela Vista, Santo André",70 m² tot.,3 quartos,1 banheiro,2 vagas
39,R$ 250.000,"Parque São João, Bauru",140 m² tot.,2 quartos,2 ban.,1 vaga
40,R$ 185.000,"Residencial Nova Bauru, Bauru",80 m² tot.,2 quartos,1 banheiro,2 vagas
41,R$ 275.000,"Centro, Bauru",175 m² tot.,3 quartos,2 ban.,
42,R$ 350.000,"Centro, Bauru",284 m² tot.,4 quartos,1 banheiro,4 vagas
43,R$ 220.000,"Bauru, São Paulo",200 m² tot.,2 quartos,1 banheiro,2 vagas
44,R$ 405.000,"Centro, Bauru",274 m² tot.,7 quartos,2 ban.,2 vagas
45,R$ 300.000,"Vila Rocha, Bauru",363 m² tot.,3 quartos,2 ban.,3 vagas
46,R$ 270.000,"Residencial Nova Bauru, Bauru",200 m² tot.,3 quartos,3 ban.,2 vagas
47,R$ 2.500.000,"Vila Aeroporto Bauru, Bauru",432 m² tot.,2 quartos,5 ban.,2 vagas
48,R$ 254.000,"Parque São João, Bauru",284 m² tot.,3 quartos,3 ban.,2 vagas
49,R$ 350.000,"Jardim Gerson França, Bauru",200 m² tot.,3 quartos,2 ban.,4 vagas
50,R$ 115.438,"Jardim Nova Esperança, Bauru",214 m² tot.,,,
51,R$ 1.300.000,"Residencial Villaggio, Bauru",350 m² tot.,3 quartos,4 ban.,2 vagas
52,R$ 260.000,"Conjunto Habitacional Isaura Pitta Garms, Bauru",100 m² tot.,2 quartos,1 banheiro,2 vagas
53,R$ 245.000,"Residencial Francisco Lemos de Almeida, Bauru",224 m² tot.,3 quartos,2 ban.,2 vagas
54,R$ 315.000,"Pousada da Esperança II, Bauru",253 m² tot.,2 quartos,1 banheiro,
55,R$ 850.000,"Jardim Shangri-Lá, Bauru",250 m² tot.,3 quartos,1 banheiro,2 vagas
56,R$ 540.000,"Chácara São João, Bauru",1944 m² tot.,3 quartos,2 ban.,2 vagas
57,R$ 920.000,"Jardim Estoril III, Bauru",384 m² tot.,2 quartos,4 ban.,2 vagas
58,R$ 2.350.000,"Residencial Tivoli II, Bauru",363 m² tot.,4 quartos,6 ban.,4 vagas
59,R$ 395.000,"Vila Souto, Bauru",220 m² tot.,2 quartos,3 ban.,4 vagas
60,R$ 185.000,"Bauru, São Paulo",144 m² tot.,2 quartos,1 banheiro,2 vagas
61,R$ 150.000,"Pousada da Esperança I, Bauru",150 m² tot.,2 quartos,1 banheiro,2 vagas
62,R$ 230.000,"Vila Santa Inês, Bauru",138 m² tot.,1 quarto,2 ban.,2 vagas
63,R$ 425.000,"Vila Alto Paraíso, Bauru",180 m² tot.,3 quartos,2 ban.,4 vagas
64,R$ 1.000.000,"Jardim Estoril II, Bauru",525 m² tot.,4 quartos,4 ban.,2 vagas
65,R$ 1.250.000,"Quinta Ranieri, Bauru",360 m² tot.,3 quartos,5 ban.,4 vagas
