,Unnamed: 0,precos,tamanhos,quartos,banheiros,vagas,bairros_preco_medio
0,0,250000.0,149.0,3.0,3.0,2.0,836100.0
1,1,924250.0,242.0,3.0,2.0,2.0,876138.1818181818
2,2,299690.0,181.0,2.0,2.0,2.0,471682.7272727273
3,3,449740.0,156.0,3.0,2.0,2.0,516538.19444444444
4,4,229140.0,112.0,2.0,2.0,5.0,252048.42105263157
5,5,1190000.0,335.0,3.0,3.0,4.0,872931.6666666666
7,7,599110.0,200.0,3.0,3.0,8.0,487326.27906976745
8,8,450000.0,70.0,3.0,1.0,2.0,448333.3333333333
9,9,250000.0,140.0,2.0,2.0,1.0,415415.11627906974
10,10,185000.0,80.0,2.0,1.0,2.0,265417.6923076923
11,11,275000.0,175.0,3.0,2.0,2.753846153846154,12340443.529411765
12,12,350000.0,284.0,4.0,1.0,4.0,12340443.529411765
13,13,220000.0,200.0,2.0,1.0,2.0,15386907.076124568
14,14,405000.0,274.0,7.0,2.0,2.0,12340443.529411765
15,15,300000.0,363.0,3.0,2.0,3.0,362008.5714285714
16,16,270000.0,200.0,3.0,3.0,2.0,265417.6923076923
17,17,2500000.0,432.0,2.0,5.0,2.0,1799145.8333333333
18,18,254000.0,284.0,3.0,3.0,2.0,415415.11627906974
19,19,350000.0,200.0,3.0,2.0,4.0,343874.5833333333
20,20,115438.0,214.0,2.3636363636363638,1.4545454545454546,2.35,236919.0
21,21,1300000.0,350.0,3.0,4.0,2.0,1789810.0
22,22,260000.0,100.0,2.0,1.0,2.0,359167.95
23,23,245000.0,224.0,3.0,2.0,2.0,543688.1818181818
24,24,315000.0,253.0,2.0,1.0,1.8888888888888888,267878.9
25,25,850000.0,250.0,3.0,1.0,2.0,2516347.5675675673
26,26,540000.0,1944.0,3.0,2.0,2.0,399700.0
27,27,920000.0,384.0,2.0,4.0,2.0,1127162.7272727273
28,28,2350000.0,363.0,4.0,6.0,4.0,1661060.0
29,29,395000.0,220.0,2.0,3.0,4.0,465320.0
30,30,250000.0,149.0,3.0,3.0,2.0,836100.0
31,31,924250.0,242.0,3.0,2.0,2.0,876138.1818181818
32,32,299690.0,181.0,2.0,2.0,2.0,471682.7272727273
33,33,449740.0,156.0,3.0,2.0,2.0,516538.19444444444
34,34,229140.0,112.0,2.0,2.0,5.0,252048.42105263157
35,35,1190000.0,335.0,3.0,3.0,4.0,872931.6666666666
37,37,599110.0,200.0,3.0,3.0,8.0,487326.27906976745
38,38,450000.0,70.0,3.0,1.0,2.0,448333.3333333333
39,39,250000.0,140.0,2.0,2.0,1.0,415415.11627906974
40,40,185000.0,80.0,2.0,1.0,2.0,265417.6923076923
41,41,275000.0,175.0,3.0,2.0,2.753846153846154,12340443.529411765
42,42,350000.0,284.0,4.0,1.0,4.0,12340443.529411765
43,43,220000.0,200.0,2.0,1.0,2.0,15386907.076124568
44,44,405000.0,274.0,7.0,2.0,2.0,12340443.529411765
45,45,300000.0,363.0,3.0,2.0,3.0,362008.5714285714
46,46,270000.0,200.0,3.0,3.0,2.0,265417.6923076923
47,47,2500000.0,432.0,2.0,5.0,2.0,1799145.8333333333
48,48,254000.0,284.0,3.0,3.0,2.0,415415.11627906974
49,49,350000.0,200.0,3.0,2.0,4.0,343874.5833333333
50,50,115438.0,214.0,2.3636363636363638,1.4545454545454546,2.35,236919.0
51,51,1300000.0,350.0,3.0,4.0,2.0,1789810.0
52,52,260000.0,100.0,2.0,1.0,2.0,359167.95
53,53,245000.0,224.0,3.0,2.0,2.0,543688.1818181818
54,54,315000.0,253.0,2.0,1.0,1.8888888888888888,267878.9
55,55,850000.0,250.0,3.0,1.0,2.0,2516347.5675675673
56,56,540000.0,1944.0,3.0,2.0,2.0,399700.0
57,57,920000.0,384.0,2.0,4.0,2.0,1127162.7272727273
58,58,2350000.0,363.0,4.0,6.0,4.0,1661060.0
59,59,395000.0,220.0,2.0,3.0,4.0,465320.0
60,60,185000.0,144.0,2.0,1.0,2.0,15386907.076124568
61,61,150000.0,150.0,2.0,1.0,2.0,181915.88
62,62,230000.0,138.0,1.0,2.0,2.0,320634.0
63,63,425000.0,180.0,3.0,2.0,4.0,506066.44444444444
64,64,1000000.0,525.0,4.0,4.0,2.0,1888303.3333333333
65,65,1250000.0,360.0,3.0,5.0,4.0,1127828.611111111
66,66,400000.0,180.0,3.0,2.522727272727273,2.0,506066.44444444444
67,67,650000.0,363.0,4.0,4.0,2.3846153846153846,725500.0
68,68,795000.0,190.0,3.0,3.0,2.0,872931.6666666666
69,69,445000.0,145.0,4.0,3.0,1.0,448333.3333333333
70,70,599000.0,184.0,3.0,2.0,2.0,872931.6666666666
71,71,529000.0,360.0,2.0,2.0,2.0,529000.0
72,72,860000.0,180.0,3.0,4.0,3.0,860000.0
73,73,740000.0,150.0,2.0,3.0,3.0,834500.0
74,74,430000.0,180.0,3.0,1.0,1.0,734285.7142857143
75,75,780000.0,390.0,3.0,3.0,3.0,487326.27906976745
76,76,526000.0,144.0,3.0,2.0,2.0,526000.0
78,78,400000.0,320.0,5.0,2.0,2.0,734285.7142857143
79,79,1700000.0,105.0,3.0,3.0,2.0,1700000.0
80,80,200000.0,200.0,3.0,1.0,3.0,330666.6666666667
81,81,450000.0,352.0,5.0,3.0,6.0,465320.0
82,82,380000.0,1040.0,2.0,2.1538461538461537,2.0,537031.1111111111
83,83,1300000.0,346.0,3.0,2.0,2.0,1165876.6147859923
84,84,332000.0,200.0,3.0,1.0,2.0,359570.0
85,85,379000.0,176.0,3.0,2.0,2.0,520996.43209876545
86,86,429900.0,173.0,3.0,2.0,3.0,836100.0
87,87,370000.0,127.0,3.0,3.0,1.0,487326.27906976745
88,88,580000.0,300.0,4.0,3.0,4.0,487326.27906976745
89,89,85000.0,115.0,2.0,1.0,2.0,181915.88
90,90,129948.0,50.0,2.0,1.6666666666666667,2.5,240259.5
91,91,58819.0,28.0,1.0,1.0,1.0,224029.3777777778
92,92,2599560.0,450.0,3.0,5.0,4.0,15386907.076124568
93,93,209710.0,47.0,2.0,1.0,2.0,15386907.076124568
94,94,311000.0,190.0,3.4578313253012047,2.0,2.0,12340443.529411765
95,95,349440.0,150.0,3.0,3.0,2.0,291122.85714285716
96,96,1599780.0,420.0,4.0,7.0,4.0,1554014.1666666667
97,97,264220.0,150.0,2.0,2.0,2.0,429783.1935483871
98,98,649040.0,250.0,3.0,2.0,2.0,699537.5
99,99,344420.0,126.0,2.0,2.0,2.0,257923.33333333334
100,100,219640.0,160.0,2.0,1.0,2.0,15386907.076124568
101,101,239650.0,148.0,2.0,1.0,2.0,15386907.076124568
102,102,349270.0,363.0,4.0,4.0,4.0,345491.8181818182
103,103,409130.0,484.0,3.0,2.0,2.0,350808.51851851854
104,104,1889220.0,360.0,4.0,5.0,2.0,986906.7307692308
105,105,494480.0,484.0,3.0,2.0,3.0,487087.1219512195
106,106,1799710.0,350.0,3.0,5.0,3.0,2285020.649350649
107,107,269600.0,200.0,3.0,2.0,2.0,272916.4285714286
108,108,419300.0,180.0,3.0,2.0,2.0,622106.0416666666
109,109,349010.0,200.0,3.0,2.0,2.0,396190.0
110,110,319500.0,200.0,3.0,2.0,3.0,272916.4285714286
111,111,329310.0,181.0,2.0,3.0,3.0,591760.4255319149
112,112,795000.0,189.0,3.0,1.0,3.0,872931.6666666666
113,113,74379.0,38.0,2.0,1.0,2.2857142857142856,209806.77777777778
114,114,77623.0,27.0,1.0,1.0,1.0,304053.6923076923
115,115,65922.0,25.0,1.0,1.0,1.0,243346.73333333334
116,116,129949.0,45.0,2.0,1.0,2.5,240259.5
117,117,136779.0,125.0,2.0,1.0,1.0,136778.4
118,118,550000.0,372.0,4.0,5.0,2.0,415415.11627906974
119,119,255000.0,176.0,3.0,2.0,2.0,236919.0
120,120,120000.0,135.0,2.0,2.0,2.0,284449.125
121,121,1400000.0,726.0,3.0,3.0,4.0,902439.8648648649
122,122,440000.0,120.0,2.0,2.0,2.0,369431.2
123,123,365000.0,180.0,3.0,3.0,2.0,376334.8387096774
124,124,480000.0,207.0,2.0,2.0,2.0,902439.8648648649
125,125,180000.0,100.0,2.0,1.0,2.0,304053.6923076923
126,126,230000.0,150.0,2.0,1.0,2.0,243346.73333333334
127,127,399000.0,250.0,3.0,3.0,2.0,452872.0
128,128,2700000.0,1000.0,2.8979591836734695,4.0,10.0,849839.4
129,129,254000.0,192.0,2.0,2.0,3.0,379475.3846153846
130,130,245000.0,252.0,3.0,4.0,1.0,379047.125
131,131,400000.0,190.0,3.0,3.0,2.0,849839.4
132,132,255000.0,125.0,2.0,1.0,2.0,224029.3777777778
133,133,320000.0,300.0,3.0,1.0,2.0,520996.43209876545
134,134,275000.0,200.0,2.0,1.0,3.0,272916.4285714286
135,135,390000.0,432.0,2.0,2.0,4.0,424763.9090909091
136,136,595000.0,200.0,3.0,3.0,2.0,464769.67647058825
137,137,190000.0,308.0,3.0,2.0,2.7083333333333335,425433.46153846156
138,138,520000.0,119.0,3.0,3.0,2.0,461814.44444444444
139,139,379090.0,288.6463414634146,1.0,1.0,1.0,12340443.529411765
140,140,270000.0,160.0,3.0,2.0,1.0,374015.45454545453
141,141,280000.0,300.0,2.0,2.0,2.0,336187.5
142,142,395000.0,200.0,4.0,3.0,5.0,302072.14285714284
143,143,160000.0,126.0,3.0,1.0,1.0,259549.0
144,144,690000.0,295.0,2.0,5.0,2.0,464769.67647058825
145,145,260000.0,195.0,2.0,2.0,4.0,379475.3846153846
146,146,379750.0,452.5416666666667,1.0,1.0,1.0,849839.4
147,147,240000.0,284.0,3.0,2.0,2.0,362008.5714285714
148,148,438460.0,484.0,4.0,3.0,1.0,488356.0
150,150,430000.0,4000.0,3.0,2.0,20.0,259549.0
151,151,330000.0,181.0,2.0,2.0,3.0,591760.4255319149
152,152,450000.0,380.0,3.0,4.0,4.0,520996.43209876545
153,153,470000.0,322.0,2.0,4.0,3.0,369087.77777777775
154,154,1900000.0,680.0,5.0,6.0,4.0,1085000.0
155,155,380000.0,230.0,3.0,2.0,2.0,464769.67647058825
156,156,890000.0,363.0,5.0,2.0,3.0,2285020.649350649
157,157,390000.0,181.0,3.0,2.0,4.0,441473.5294117647
158,158,2350000.0,6000.0,5.0,5.0,4.0,2516347.5675675673
159,159,800000.0,300.0,3.0,4.0,2.0,543688.1818181818
160,160,900000.0,198.0,3.0,3.0,2.0,834500.0
161,161,795000.0,230.0,3.0,3.0,2.0,872931.6666666666
162,162,250000.0,330.0,3.0,2.0,5.0,250000.0
163,163,290000.0,131.0,3.0,2.0,2.0,487326.27906976745
165,165,800000.0,125.0,3.0,2.0,2.0,800000.0
166,166,795000.0,190.0,3.0,3.0,2.0,872931.6666666666
167,167,1170000.0,225.0,3.0,5.0,5.0,834500.0
169,169,400000.0,242.0,2.0,2.0,2.0,393852.0
170,170,295000.0,125.0,2.0,2.0,1.0,315135.55555555556
171,171,1700000.0,2775.0,5.0,4.0,10.0,924436.5
172,172,380000.0,135.0,3.0,2.0,2.0,304053.6923076923
173,173,250000.0,184.0,3.0,2.0,1.0,243346.73333333334
174,174,265000.0,275000.0,3.0,2.0,3.0,262710.0
